coverage_id,region,state,category,canonical_name,aliases,source_evidence,nutrition_status,nutrition_rule
REG22-0111,North,Punjab,naan,Peshawari Naan,Kashmiri Naan in some menus,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0112,North,Punjab,naan,Methi Naan,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0113,North,Punjab,naan,Amritsari Naan,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0114,North,Punjab,naan,Kulcha,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0115,North,Punjab,kulcha,Aloo Kulcha,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0116,North,Punjab,kulcha,Onion Kulcha,Pyaz Kulcha,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0117,North,Punjab,kulcha,Amritsari Kulcha,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0118,North,North India,paratha,Plain Paratha,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0119,North,North India,paratha,Lachha Paratha,Laccha Paratha,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0120,North,North India,paratha,Aloo Paratha,Aaloo Paratha,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0121,North,North India,paratha,Gobi Paratha,Gobhi Paratha,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0122,North,North India,paratha,Mooli Paratha,Muli Paratha,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0123,North,North India,paratha,Methi Paratha,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0124,North,North India,paratha,Paneer Paratha,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0125,North,North India,paratha,Matar Paratha,Peas Paratha,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0126,North,North India,paratha,Pyaz Paratha,Onion Paratha,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0127,North,North India,paratha,Palak Paratha,Spinach Paratha,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0128,North,North India,paratha,Dal Paratha,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0129,North,North India,paratha,Sattu Paratha,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0130,North,North India,paratha,Pudina Paratha,Mint Paratha,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0131,North,North India,paratha,Keema Paratha,Qeema Paratha,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0132,North,North India,paratha,Anda Paratha,Egg Paratha,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0133,North,North India,paratha,Makhuni Paratha,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0134,North,Awadh,paratha,Warqi Paratha,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0135,North,Haryana,paratha,Murthal Paratha,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0136,West,Maharashtra,paratha,Baida Roti,Egg/meat stuffed flatbread,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0137,South,Kerala,parotta,Malabar Parotta,Kerala Parotta,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0138,South,Tamil Nadu,parotta,Veechu Parotta,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0139,South,Tamil Nadu,parotta,Bun Parotta,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0140,South,Tamil Nadu,parotta,Ceylon Parotta,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0141,South,Tamil Nadu,parotta,Kothu Parotta,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0142,South,Karnataka,paratha,Bidari Paratha,Bidar Paratha,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0143,North,Hyderabad,mutton,Mutton Paya,Paya,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0144,North,Hyderabad,mutton,Mutton Marag,Marag,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0145,North,Hyderabad,mutton,Mutton Korma,Gosht Korma,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0146,North,Hyderabad,mutton,Mutton Do Pyaza,Gosht Do Pyaza,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0147,North,Hyderabad,mutton,Mutton Biryani,Hyderabadi Mutton Biryani,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0148,North,Hyderabad,chicken,Chicken Pulao,Chicken Pulav,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0149,North,Hyderabad,chicken,Murgh Musallam,Murg Musallam,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0150,North,Hyderabad,chicken,Chicken Marag,Murgh Marag,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0151,North,Mughlai,chicken,Murgh Kalmi,Murgh-e-Kalmi,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0152,North,Mughlai,chicken,Murgh Musallam,,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0153,North,Mughlai,mutton,Mutton Boti Kebab,Mutton Boti,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0154,North,Mughlai,mutton,Nargisi Kofta,,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0155,North,Mughlai,mutton,Rogan Josh,,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0156,North,Mughlai,mutton,Shami Kebab,Shami Kabab,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0157,North,Mughlai,mutton,Mutton Keema,Keema,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0158,South,Andhra,chicken,Natu Kodi Pulusu,Country Chicken Curry,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0159,South,Andhra,chicken,Andhra Chicken Curry,Kodi Kura,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0160,South,Andhra,mutton,Gongura Mutton,,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0161,South,Tamil Nadu,chicken,Chettinad Chicken,,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0162,South,Kerala,chicken,Kerala Chicken Curry,Nadan Kozhi Curry,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0163,South,Kerala,mutton,Mutton Stew,Mutton Ishtu,regional cuisine references; exact recipe/nutrition source required before canonical promotion,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
